service,course_id,user_id,task,subtask,author,comment_length
Abgabe,15,a0604900,5,4,someone003,578
Abgabe,15,a0604900,6,1,someone003,412
Abgabe,15,a0604900,7,9,someone003,406
Abgabe,15,a0604900,8,5,someone003,412
Abgabe,15,a0604900,9,1,someone003,412
Abgabe,15,a0604900,12,6,someone003,491
Abgabe,15,a0749417,1,1,someone003,463
Abgabe,15,a0749417,1,6,someone003,516
Abgabe,15,a0749417,2,2,someone003,418
Abgabe,15,a0749417,2,7,someone003,531
Abgabe,15,a0749417,2,3,someone003,418
Abgabe,15,a0749417,2,12,someone003,412
Abgabe,15,a0749417,2,11,someone003,412
Abgabe,15,a0749417,3,2,someone003,603
Abgabe,15,a0749417,4,3,someone003,412
Abgabe,15,a0749417,6,5,someone003,412
Abgabe,15,a0749417,6,4,someone003,626
Abgabe,15,a0749417,7,13,someone003,412
Abgabe,15,a0749417,9,1,someone003,412
Abgabe,15,a0749417,11,2,someone003,670
Abgabe,15,a0749417,12,6,someone003,522
Abgabe,15,a1005067,1,1,someone003,412
Abgabe,15,a1005067,2,7,someone003,499
Abgabe,15,a1005067,3,2,someone003,412
Abgabe,15,a1005067,5,1,someone003,565
Abgabe,15,a1005067,6,3,someone003,406
Abgabe,15,a1005067,7,8,someone003,454
Abgabe,15,a1005067,8,3,someone003,406
Abgabe,15,a1002946,1,1,someone003,412
Abgabe,15,a1002946,2,7,someone003,445
Abgabe,15,a1002946,3,2,someone003,412
Abgabe,15,a1002946,4,11,someone003,625
Abgabe,15,a1002946,5,4,someone003,406
Abgabe,15,a1002946,6,3,someone003,406
Abgabe,15,a0548702,1,1,someone003,412
Abgabe,15,a0548702,1,2,someone003,412
Abgabe,15,a0548702,2,2,someone003,406
Abgabe,15,a0548702,3,7,someone003,406
Abgabe,15,a0548702,4,1,someone003,406
Abgabe,15,a0548702,5,3,someone003,589
Abgabe,15,a0548702,6,1,someone003,406
Abgabe,15,a0548702,7,8,someone003,812
Abgabe,15,a0548702,8,5,someone003,459
Abgabe,15,a0548702,9,1,someone003,412
